difference_class,variables,pct_observed_puf_2018_2022,pct_observed_puf_2024,pct_observed_single_site,harmonization_or_handling
Discontinued,"DYSPNEA, WNDINF, WTLOSS",60.1,0.0,0.0,Collection discontinued after 2020; retained in the predictor set with unavailable values handled as missing
Introduced or expanded,"OXYGEN_SUPPORT, PREOP_COVID",40.0,100.0,100.0,Introduced mid-window; earlier-year values handled as missing
Introduced or expanded,RENAFAIL,80.3,100.0,100.0,Availability increased during the study period
Introduced or expanded,"HXDEMENTIA, HXFALL",6.2,16.7,21.9,Increased over time but remained limited
Introduced or expanded,HOMESUP,5.8,15.6,21.1,Increased over time but remained limited
Recoded across eras,"CASETYPE, EMERGNCY, ELECTSURG",100.0,100.0,100.0,Mapped to a common coding scheme across annual files and retained as distinct predictors
Recoded across eras,"HEMO, PRHEMO_A1C",10.1,30.3,35.0,Harmonized across coding eras; availability increased over time
Cross-cohort measurement,PRHEMOGLOBIN,83.7,84.0,93.4,Derived from PRHCT in PUF; directly measured at the single site (see note)
Very low availability,PREOP_CREAT_MSINCR,0.1,0.2,0.2,Retained; observed values present in the training years
Very low availability,IMMUNO_CAT,1.7,4.6,6.4,Retained; observed values present in the training years
No training values,"DPRHEMOGLOBIN, DPRHEMO_A1C, PRPT, DPRPT",0.0,0.0,0.0,Not instantiated as model inputs
