name,availability,years_present,n_years,build_action,rule
ASACLAS,present in all years,"2018,2019,2020,2021,2022,2023,2024",7,read directly,
ASCITES,present in all years,"2018,2019,2020,2021,2022,2023,2024",7,read directly,
Age,present in all years,"2018,2020,2021,2022,2023,2024",6,read directly,
BLEEDDIS,present in all years,"2018,2019,2020,2021,2022,2023,2024",7,read directly,
CPT,present in all years,"2018,2019,2020,2021,2022,2023,2024",7,read directly,
DIABETES,present in all years,"2018,2019,2020,2021,2022,2023,2024",7,read directly,
DIALYSIS,present in all years,"2018,2019,2020,2021,2022,2023,2024",7,read directly,
DISCANCR,present in all years,"2018,2019,2020,2021,2022,2023,2024",7,read directly,
DPRALBUM,present in all years,"2018,2019,2020,2021,2022,2023,2024",7,read directly,
DPRALKPH,present in all years,"2018,2019,2020,2021,2022,2023,2024",7,read directly,
DPRBILI,present in all years,"2018,2019,2020,2021,2022,2023,2024",7,read directly,
DPRBUN,present in all years,"2018,2019,2020,2021,2022,2023,2024",7,read directly,
DPRCREAT,present in all years,"2018,2019,2020,2021,2022,2023,2024",7,read directly,
DPRHCT,present in all years,"2018,2019,2020,2021,2022,2023,2024",7,read directly,
DPRINR,present in all years,"2018,2019,2020,2021,2022,2023,2024",7,read directly,
DPRNA,present in all years,"2018,2019,2020,2021,2022,2023,2024",7,read directly,
DPRPLATE,present in all years,"2018,2019,2020,2021,2022,2023,2024",7,read directly,
DPRPTT,present in all years,"2018,2019,2020,2021,2022,2023,2024",7,read directly,
DPRSGOT,present in all years,"2018,2019,2020,2021,2022,2023,2024",7,read directly,
DPRWBC,present in all years,"2018,2019,2020,2021,2022,2023,2024",7,read directly,
ETHNICITY_HISPANIC,present in all years,"2018,2019,2020,2021,2022,2023,2024",7,read directly,
FNSTATUS2,present in all years,"2018,2019,2020,2021,2022,2023,2024",7,read directly,
HEIGHT,present in all years,"2018,2019,2020,2021,2022,2023,2024",7,read directly,
HXCHF,present in all years,"2018,2019,2020,2021,2022,2023,2024",7,read directly,
HXCOPD,present in all years,"2018,2019,2020,2021,2022,2023,2024",7,read directly,
HYPERMED,present in all years,"2018,2019,2020,2021,2022,2023,2024",7,read directly,
HtoODay,present in all years,"2018,2020,2021,2022,2023,2024",6,read directly,
INOUT,present in all years,"2018,2019,2020,2021,2022,2023,2024",7,read directly,
